"Step","transformer-2-(bin) - sig/significance","transformer-2-(bin) - sig/significance__MIN","transformer-2-(bin) - sig/significance__MAX","transformer-2 - sig/significance","transformer-2 - sig/significance__MIN","transformer-2 - sig/significance__MAX"
"139","2.0789387226104736","2.0789387226104736","2.0789387226104736","2.1966168880462646","2.1966168880462646","2.1966168880462646"
"140","2.0788047313690186","2.0788047313690186","2.0788047313690186","2.1922783851623535","2.1922783851623535","2.1922783851623535"
"141","2.082827091217041","2.082827091217041","2.082827091217041","2.198847532272339","2.198847532272339","2.198847532272339"
"142","2.0871224403381348","2.0871224403381348","2.0871224403381348","2.194668769836426","2.194668769836426","2.194668769836426"
"143","2.089495897293091","2.089495897293091","2.089495897293091","2.1965067386627197","2.1965067386627197","2.1965067386627197"
"144","2.090770721435547","2.090770721435547","2.090770721435547","2.2017953395843506","2.2017953395843506","2.2017953395843506"
"145","2.094132661819458","2.094132661819458","2.094132661819458","2.198723316192627","2.198723316192627","2.198723316192627"
"146","2.100749969482422","2.100749969482422","2.100749969482422","2.203137159347534","2.203137159347534","2.203137159347534"
"147","2.099000930786133","2.099000930786133","2.099000930786133","2.1921753883361816","2.1921753883361816","2.1921753883361816"
"148","2.102649688720703","2.102649688720703","2.102649688720703","2.2032663822174072","2.2032663822174072","2.2032663822174072"
"149","2.103126287460327","2.103126287460327","2.103126287460327","2.1909430027008057","2.1909430027008057","2.1909430027008057"
"150","2.106586456298828","2.106586456298828","2.106586456298828","2.203404188156128","2.203404188156128","2.203404188156128"
"151","2.1088902950286865","2.1088902950286865","2.1088902950286865","2.203712224960327","2.203712224960327","2.203712224960327"
"152","2.109562635421753","2.109562635421753","2.109562635421753","2.2027785778045654","2.2027785778045654","2.2027785778045654"
"153","2.117626190185547","2.117626190185547","2.117626190185547","2.197624683380127","2.197624683380127","2.197624683380127"
"154","2.119626760482788","2.119626760482788","2.119626760482788","2.2100648880004883","2.2100648880004883","2.2100648880004883"
"155","2.1233322620391846","2.1233322620391846","2.1233322620391846","2.205811023712158","2.205811023712158","2.205811023712158"
"156","2.1191511154174805","2.1191511154174805","2.1191511154174805","2.2038161754608154","2.2038161754608154","2.2038161754608154"
"157","2.1263582706451416","2.1263582706451416","2.1263582706451416","2.2063374519348145","2.2063374519348145","2.2063374519348145"
"158","2.1228933334350586","2.1228933334350586","2.1228933334350586","2.2046968936920166","2.2046968936920166","2.2046968936920166"
"159","2.1276373863220215","2.1276373863220215","2.1276373863220215","2.1985323429107666","2.1985323429107666","2.1985323429107666"
"160","2.123408555984497","2.123408555984497","2.123408555984497","2.206486225128174","2.206486225128174","2.206486225128174"
"161","2.1230781078338623","2.1230781078338623","2.1230781078338623","2.201258897781372","2.201258897781372","2.201258897781372"
"162","2.126980781555176","2.126980781555176","2.126980781555176","2.1925065517425537","2.1925065517425537","2.1925065517425537"
"163","2.1244595050811768","2.1244595050811768","2.1244595050811768","2.1973342895507812","2.1973342895507812","2.1973342895507812"
"164","2.1291005611419678","2.1291005611419678","2.1291005611419678","2.2030861377716064","2.2030861377716064","2.2030861377716064"
"165","2.1333608627319336","2.1333608627319336","2.1333608627319336","2.206237316131592","2.206237316131592","2.206237316131592"
"166","2.134706497192383","2.134706497192383","2.134706497192383","2.216560125350952","2.216560125350952","2.216560125350952"
"167","2.135416030883789","2.135416030883789","2.135416030883789","2.1976089477539062","2.1976089477539062","2.1976089477539062"
"168","2.1387252807617188","2.1387252807617188","2.1387252807617188","2.2072818279266357","2.2072818279266357","2.2072818279266357"
"169","2.137631893157959","2.137631893157959","2.137631893157959","2.2093756198883057","2.2093756198883057","2.2093756198883057"
"170","2.140923261642456","2.140923261642456","2.140923261642456","2.200486183166504","2.200486183166504","2.200486183166504"
"171","2.141116142272949","2.141116142272949","2.141116142272949","2.208392381668091","2.208392381668091","2.208392381668091"
"172","2.1444284915924072","2.1444284915924072","2.1444284915924072","2.2027649879455566","2.2027649879455566","2.2027649879455566"
"173","2.148909330368042","2.148909330368042","2.148909330368042","2.1912972927093506","2.1912972927093506","2.1912972927093506"
"174","2.1477415561676025","2.1477415561676025","2.1477415561676025","2.2046101093292236","2.2046101093292236","2.2046101093292236"
"175","2.1465864181518555","2.1465864181518555","2.1465864181518555","2.206007957458496","2.206007957458496","2.206007957458496"
"176","2.1501307487487793","2.1501307487487793","2.1501307487487793","2.203468084335327","2.203468084335327","2.203468084335327"
"177","2.153388738632202","2.153388738632202","2.153388738632202","2.2021148204803467","2.2021148204803467","2.2021148204803467"
"178","2.1586453914642334","2.1586453914642334","2.1586453914642334","2.223026990890503","2.223026990890503","2.223026990890503"
"179","2.156726837158203","2.156726837158203","2.156726837158203","2.2113940715789795","2.2113940715789795","2.2113940715789795"
"180","2.1539878845214844","2.1539878845214844","2.1539878845214844","2.2076523303985596","2.2076523303985596","2.2076523303985596"
"181","2.156731128692627","2.156731128692627","2.156731128692627","2.2028486728668213","2.2028486728668213","2.2028486728668213"
"182","2.1573476791381836","2.1573476791381836","2.1573476791381836","2.2132158279418945","2.2132158279418945","2.2132158279418945"
"183","2.162593126296997","2.162593126296997","2.162593126296997","2.2060928344726562","2.2060928344726562","2.2060928344726562"
"184","2.1609866619110107","2.1609866619110107","2.1609866619110107","2.213099241256714","2.213099241256714","2.213099241256714"
"185","2.162675142288208","2.162675142288208","2.162675142288208","2.20959210395813","2.20959210395813","2.20959210395813"
"186","2.1643643379211426","2.1643643379211426","2.1643643379211426","2.2050764560699463","2.2050764560699463","2.2050764560699463"
"187","2.165937900543213","2.165937900543213","2.165937900543213","2.20869517326355","2.20869517326355","2.20869517326355"
"188","2.161468744277954","2.161468744277954","2.161468744277954","2.214141607284546","2.214141607284546","2.214141607284546"
"189","2.164829969406128","2.164829969406128","2.164829969406128","2.216606616973877","2.216606616973877","2.216606616973877"
"190","2.169264078140259","2.169264078140259","2.169264078140259","2.211716651916504","2.211716651916504","2.211716651916504"
"191","2.169074296951294","2.169074296951294","2.169074296951294","2.2120542526245117","2.2120542526245117","2.2120542526245117"
"192","2.1622817516326904","2.1622817516326904","2.1622817516326904","2.21287202835083","2.21287202835083","2.21287202835083"
"193","2.1691741943359375","2.1691741943359375","2.1691741943359375","2.2097325325012207","2.2097325325012207","2.2097325325012207"
"194","2.1695055961608887","2.1695055961608887","2.1695055961608887","2.2181520462036133","2.2181520462036133","2.2181520462036133"
"195","2.17484188079834","2.17484188079834","2.17484188079834","2.217424154281616","2.217424154281616","2.217424154281616"
"196","2.1705973148345947","2.1705973148345947","2.1705973148345947","2.2138187885284424","2.2138187885284424","2.2138187885284424"
"197","2.1672744750976562","2.1672744750976562","2.1672744750976562","2.209728717803955","2.209728717803955","2.209728717803955"
"198","2.168283700942993","2.168283700942993","2.168283700942993","2.2194390296936035","2.2194390296936035","2.2194390296936035"
"199","2.1655004024505615","2.1655004024505615","2.1655004024505615","2.2207038402557373","2.2207038402557373","2.2207038402557373"
"200","2.1652424335479736","2.1652424335479736","2.1652424335479736","2.2157974243164062","2.2157974243164062","2.2157974243164062"
"201","2.166287660598755","2.166287660598755","2.166287660598755","2.2118706703186035","2.2118706703186035","2.2118706703186035"
"202","2.1630942821502686","2.1630942821502686","2.1630942821502686","2.2101540565490723","2.2101540565490723","2.2101540565490723"
"203","2.165658950805664","2.165658950805664","2.165658950805664","2.2074973583221436","2.2074973583221436","2.2074973583221436"
"204","2.168529510498047","2.168529510498047","2.168529510498047","2.2119667530059814","2.2119667530059814","2.2119667530059814"
"205","2.1673271656036377","2.1673271656036377","2.1673271656036377","2.2176618576049805","2.2176618576049805","2.2176618576049805"
